level,id,pw,name,jumin,phoneNum,bank,account,balance,reservationCount,noshowCount,stopDate,limitDate,signOut
1,adloi,fjbvn#,한원영,890128-2759376,010-6944-7684,신한은행,983-499-244951,240000,null,null,null,null,null
1,yqlcgqto,xfaiy@,윤준훈,741115-1777796,010-1895-9647,IBK기업은행,983-0454-8141-72,81111,null,null,null,null,null
1,gjul,ykzpoak!,임하석,780603-2878019,010-4050-3524,KEB하나은행,9829-71-5689404,560000,null,null,null,null,null
1,bimx,zniwrxja#,정원훈,671214-1827730,010-6580-7073,우리은행,9824-416-821471,81111,null,null,null,null,null
1,tsfnipi,uszmobtk%,권태윤,950829-2071696,010-9796-4163,IBK기업은행,981-6040-3504-41,600000,null,null,null,null,null
1,wjtp,szpwj#,한하민,760530-1321006,010-7156-9343,케이뱅크,981-400-350133,350000,null,null,null,null,null
1,tzqmx,qehjgoq*,이다우,530509-2997063,010-9591-3244,NH농협은행,981-3805-0827-75,0,null,null,null,null,null
1,myds,mfjuw&,문경석,870208-2591113,010-6653-8739,케이뱅크,980-844-709485,700000,null,null,null,null,null
1,oknexuf,hsbmt@,장서연,720108-2779096,010-8893-6329,신한은행,980-464-273961,270000,null,null,null,null,null
1,bqdds,wiqmexnm&,강준연,530921-2101960,010-0587-6265,신한은행,979-928-455514,450000,null,null,null,null,null
1,mrdhwtt,gwiuilky#,조수훈,990220-1353652,010-7326-2632,카카오뱅크,9789-65-7615133,760000,null,null,null,null,null
1,apau,kuxfifw^,김원훈,730630-1784549,010-0017-4990,신한은행,978-585-799550,790000,null,null,null,null,null
1,ikpmzy,wmnyn%,양명원,680518-1926928,010-8922-0926,신한은행,977-668-706211,800000,null,null,null,null,null
1,djubrjzp,gejmh&,윤지민,041212-3517254,010-7155-8160,케이뱅크,976-021-264515,261111,null,null,null,null,null
1,cvizbxo,htpvkacx#,한수훈,740619-2096722,010-0391-1124,씨티은행,975-92-641971-6,6410000,null,null,null,null,null
1,pfyuq,ktvcgbmn%,장다준,610303-1157472,010-7932-4923,KEB하나은행,9746-63-7143856,200000,null,null,null,null,null
1,ganacwwj,tsjxofk!,전태현,900530-2359683,010-4383-4616,부산은행,974-4616-0571,0,null,null,null,null,null
1,bmjyiha,wgmoh@,권정석,580316-2992456,010-0581-8218,케이뱅크,973-993-449420,440000,null,null,null,null,null
1,klpqkg,hwyje%,고지윤,680727-1827000,010-4444-1816,제일은행,973-17-398447,0,null,null,null,null,null
1,ajkhldu,yzyxp*,정원혁,571202-2478305,010-6850-1233,우리은행,9725-223-022091,1111,null,null,null,null,null
1,qzjty,vlibyooo!,최하혜,000330-4354131,010-6134-3174,케이뱅크,972-307-224120,220000,null,null,null,null,null
1,gzugp,shloxj&,문시찬,521116-2526642,010-5597-3085,케이뱅크,971-665-324077,321111,null,null,null,null,null
1,xkckoi,dylxy^,김준혁,651205-2470271,010-9824-0661,NH농협은행,969-6731-9621-30,91111,null,null,null,null,null
1,unnhkbl,thmxybgq&,윤정훈,960920-1480571,010-6745-1360,IBK기업은행,969-1815-2423-61,20000,null,null,null,null,null
1,rlgar,vywjlvh#,양시현,611205-1308467,010-2480-3796,케이뱅크,968-711-255956,251111,null,null,null,null,null
1,dfjxwp,tqefucg@,임명윤,001221-3781834,010-4891-7776,우리은행,9682-139-970146,91111,null,null,null,null,null
1,rfiwu,pjvqbn%,권명원,880125-2547145,010-7677-7256,신한은행,966-205-386014,500000,null,null,null,null,null
1,ogqjlq,udnirepp%,조경윤,871120-1449245,010-7616-9677,신한은행,965-999-649972,500000,null,null,null,null,null
1,aakxg,weewge@,이준원,720605-2198847,010-2523-1469,신한은행,965-796-972248,970000,null,null,null,null,null
1,yjyzpge,baliyz$,조준찬,980822-2058527,010-6504-6341,신한은행,965-496-462966,460000,null,null,null,null,null
